Booking_ID,Customer_ID,Employee_ID,Pricing_ID,Booking_Date,Delivery_Date,Origin_City,Destination_City,Vehicle_Type,Weight_LBS,Freight_Amount_USD,Payment_Mode,Shipment_Status,Customer_Name,Customer_City,Industry,Credit_Limit_USD,Customer_Status,Employee_Name,Employee_City,Joining_Date,Salary_USD,Manager_Name
BK000011,CUST3264,EMP1062,PR2035,2025-09-29,,Dallas,Denver,Trailer,241.72,10038.43,COD,Booked,Glover And Sons,Atlanta,E-commerce,96986,Inactive,Erica Bailey,San Francisco,2025-07-11,78210.0,Daniel Cannon
BK000012,CUST3162,EMP1049,PR2024,2025-11-13,,Los Angeles,Phoenix,Mini Truck,8777.27,11336.29,Credit,Cancelled,Hart Ltd,Houston,Manufacturing,11604,Inactive,John Allison,Miami,2024-08-23,5000.0,Bethany Nelson
BK000013,CUST3166,EMP1073,PR2042,2025-12-11,,New York,Dallas,Trailer,4774.19,797.57,Prepaid,In Transit,Unknown Customer,Miami,Retail,97796,Inactive,Lisa Chavez,San Francisco,2022-05-09,72571.0,Lisa Horton
BK000014,CUST3170,EMP1088,PR2001,2026-03-20,,Chicago,New York,Van,4615.25,3601.91,Prepaid,Pending,Adams And Sons,Chicago,Retail,16572,Active,Rachel Grant,Phoenix,2026-04-02,81717.5,Leah Walker
BK000015,CUST3084,EMP1077,PR2005,2025-08-16,,Los Angeles,Seattle,Truck,1546.41,17415.0,Prepaid,In Transit,"Bowen, Calderon And Lynch",San Francisco,Retail,39309,Active,Johnny Miller,San Francisco,2025-03-31,68612.0,Rebecca Wiley
BK000016,CUST3130,EMP1033,PR2014,2026-03-13,,Houston,Dallas,Truck,2249.27,16226.85,Credit,Cancelled,Espinoza And Sons,Miami,Manufacturing,12032,Inactive,Thomas Abbott,Dallas,2024-05-01,48468.0,Derrick Cohen
BK000017,CUST3119,EMP1008,PR2044,2025-11-13,,New York,Phoenix,Mini Truck,6100.12,14680.25,COD,In Transit,"Mills, Duke And Flores",New York,Retail,66632,Inactive,Paul Price,Boston,2022-03-02,82662.0,Thomas Garcia
BK000018,CUST3174,EMP1094,PR2032,2026-02-07,,Dallas,Los Angeles,Trailer,2570.17,10195.51,COD,Pending,"Shepard, Wilson And Ayers",Denver,Retail,10058,Inactive,Robert Oliver,Boston,2021-11-10,65493.0,Sarah Hart
BK000019,CUST3094,EMP1003,PR2028,2025-08-02,,Los Angeles,Houston,Van,1820.89,12487.13,Prepaid,Booked,"King, Schneider And Martin",New York,Retail,46532,Active,Tammy Jimenez,Miami,2024-08-29,86692.0,Tina Mcdaniel
BK000020,CUST3120,EMP1049,PR2044,2025-08-09,,New York,Seattle,Truck,6044.95,12829.5,Credit,Booked,"Gaines, Wagner And Patel",Chicago,Manufacturing,58737,Active,John Allison,Miami,2024-08-23,5000.0,Bethany Nelson
BK000021,CUST3131,EMP1070,PR2030,2025-12-30,,Chicago,Los Angeles,Van,5857.16,9304.42,Credit,In Transit,Ellis And Sons,Seattle,Manufacturing,31882,Inactive,Molly Solis,Phoenix,2023-04-02,5000.0,Meghan Arnold
BK000022,CUST3231,EMP1018,PR2032,2026-04-17,,Denver,New York,Truck,5574.69,1923.54,COD,Pending,"Walters, Hays And Williams",Chicago,Healthcare,30937,Inactive,Angela Freeman,Chicago,2026-02-25,102702.0,David Coffey
BK000023,CUST3215,EMP1036,PR2014,2026-02-25,,Boston,Miami,,5634.97,8697.6,Credit,Pending,Barajas Llc,Houston,Manufacturing,87500,Active,Roberto Curtis,Miami,2025-01-10,57025.0,Ernest Lamb
BK000024,CUST3266,EMP1053,PR2041,2025-11-14,,New York,San Francisco,Van,3831.09,2646.85,COD,Pending,Calderon-Sullivan,Phoenix,Retail,22294,Inactive,Amanda Lewis,Phoenix,2022-03-17,89285.0,Kevin Long
BK000025,CUST3056,EMP1058,PR2048,2025-06-08,,Seattle,New York,Truck,9617.48,17401.03,Credit,,Gonzalez-Trujillo,Seattle,Manufacturing,67157,Active,Allen Montes,Boston,2025-02-19,98387.0,Kenneth Hamilton
BK000026,CUST3108,EMP1069,PR2020,2025-11-08,,Boston,Phoenix,Truck,7376.01,6216.17,COD,Cancelled,Curry-Jones,Los Angeles,Manufacturing,74925,Active,Sarah Frey,Dallas,2022-08-17,103259.0,Jennifer Yoder
BK000027,CUST3095,EMP1023,PR2024,2025-08-03,,Boston,New York,Mini Truck,7620.94,1000.0,Credit,Cancelled,Johnson-Vaughn,Chicago,Manufacturing,74371,Active,Kathleen Moreno,San Francisco,2025-08-11,44357.0,Amber Garner
BK000028,CUST3011,EMP1082,PR2008,2025-05-08,2025-05-14,San Francisco,Phoenix,Trailer,7876.43,12463.98,Prepaid,Delivered,"Ford, Williamson And Simpson",San Francisco,Manufacturing,31677,Inactive,Stephen Zamora,Los Angeles,2023-02-27,64228.0,Matthew Newman
BK000029,CUST3173,EMP1052,PR2026,2025-08-31,2025-09-09,Los Angeles,Chicago,Container,3700.98,13947.76,Credit,Delivered,"Smith, Henry And Wright",Seattle,Retail,52427,Inactive,Jeffrey Brown,Atlanta,2025-09-20,72051.0,Erin Todd
BK000030,CUST3242,EMP1086,PR2035,2026-01-18,,Houston,Boston,Mini Truck,6293.06,14997.59,Prepaid,Booked,Peters-Haley,Houston,Healthcare,38737,Inactive,Linda Ward,Houston,2022-03-24,107426.0,Christopher Johnston
BK000031,CUST3227,EMP1099,PR2043,2025-06-23,,Dallas,,Mini Truck,178.25,18012.99,COD,Cancelled,Unknown Customer,Denver,Manufacturing,46308,Inactive,Timothy Aguirre,New York,2024-03-30,106161.0,George Robertson
BK000032,CUST3228,EMP1053,PR2050,2025-07-17,,New York,Dallas,Container,5927.92,7083.03,Credit,Booked,Wilcox Ltd,Atlanta,Healthcare,36337,Inactive,Amanda Lewis,Phoenix,2022-03-17,89285.0,Kevin Long
BK000033,CUST3112,EMP1052,PR2032,2025-10-30,,Seattle,,,416.01,13941.64,Prepaid,In Transit,"Hamilton, Robinson And Cantu",Los Angeles,E-commerce,66959,Active,Jeffrey Brown,Atlanta,2025-09-20,72051.0,Erin Todd
BK000034,CUST3023,EMP1084,PR2031,2025-10-15,,Chicago,Seattle,Trailer,6574.02,10038.43,Prepaid,In Transit,"Gray, Barnes And Becker",San Francisco,E-commerce,66615,Inactive,Evan Robinson,New York,2023-03-15,60180.0,Kelly Austin
BK000035,CUST3140,EMP1100,PR2038,2026-03-06,,Houston,New York,Truck,527.56,3544.43,Prepaid,Cancelled,Williams And Sons,San Francisco,Retail,85994,Inactive,Sherry Smith,Boston,2023-01-02,84629.0,Randy Schneider
BK000036,CUST3179,EMP1006,PR2037,2025-12-16,,Phoenix,Los Angeles,Van,9429.9,11095.89,COD,Pending,"Garcia, Chavez And Cox",Houston,Healthcare,74257,Active,Anna Thompson,San Francisco,2021-06-02,97495.0,Lee Wallace
BK000037,CUST3294,EMP1094,PR2012,2025-07-24,,Houston,Miami,Trailer,3532.14,10038.43,Credit,In Transit,"Campbell, Anderson And Mercado",Miami,Healthcare,12125,Inactive,Robert Oliver,Boston,2021-11-10,65493.0,Sarah Hart
BK000038,CUST3260,EMP1035,PR2035,2025-11-02,2025-11-10,Chicago,New York,Mini Truck,6790.14,1056.48,Credit,Delivered,"Salinas, Scott And Wang",New York,Healthcare,37326,Inactive,Mark Williams,New York,2025-09-17,85120.0,Edward Reed
BK000039,CUST3263,EMP1046,PR2014,2026-01-17,,Boston,New York,Truck,9470.76,12583.07,COD,Cancelled,Duke And Sons,New York,E-commerce,78581,Active,Rebecca Morton,Phoenix,2021-06-25,56913.0,Elizabeth Howe
BK000040,CUST3269,EMP1081,PR2011,2025-11-11,,Phoenix,,Truck,7004.14,6966.23,COD,Pending,"Wilkerson, Kelly And French",San Francisco,E-commerce,53315,Inactive,Ariana Kelly,Houston,2022-06-23,88397.0,Sarah Welch
BK000041,CUST3046,EMP1060,PR2047,2025-07-06,,Dallas,New York,,4166.99,18425.96,Prepaid,In Transit,Shelton Inc,New York,Retail,32041,Active,Lisa Jackson,Miami,2024-01-07,47399.0,Brenda Smith
BK000042,CUST3089,EMP1052,PR2028,2026-02-08,2026-02-11,New York,Miami,Mini Truck,8889.86,19585.03,Prepaid,Delivered,"Kelly, Kennedy And Branch",Seattle,E-commerce,26946,Inactive,Jeffrey Brown,Atlanta,2025-09-20,72051.0,Erin Todd
BK000043,CUST3008,EMP1094,PR2039,2025-09-02,,Chicago,Miami,Truck,8237.25,8715.4,COD,Cancelled,"Mullen, Dixon And Gray",Houston,Retail,98690,Active,Robert Oliver,Boston,2021-11-10,65493.0,Sarah Hart
BK000044,CUST3152,EMP1018,PR2004,2025-10-15,2025-10-25,Denver,Boston,Container,5639.64,15833.87,Prepaid,Delivered,Nelson-Ferguson,Miami,Retail,49638,Active,Angela Freeman,Chicago,2026-02-25,102702.0,David Coffey
BK000045,CUST3002,EMP1038,PR2025,2025-11-20,2025-11-28,Seattle,San Francisco,Van,6622.52,18788.47,Prepaid,Delivered,"Reynolds, Barron And Ortiz",Seattle,E-commerce,40555,Inactive,Terri Massey,Boston,2022-03-13,90721.0,Joseph Gregory
BK000046,CUST3121,EMP1019,PR2040,2025-12-10,,Phoenix,Seattle,Container,2919.64,1680.85,COD,Booked,Alvarez And Sons,Boston,Retail,90058,Active,Luis Rodriguez,Miami,2025-07-14,117169.0,Barbara Lee
BK000047,CUST3166,EMP1032,PR2049,2025-07-09,,Dallas,Seattle,Mini Truck,7291.81,17683.23,COD,Pending,Unknown Customer,Miami,Retail,97796,Inactive,Phillip Mcguire,Houston,2025-05-23,70707.0,Travis Smith
BK000048,CUST3235,EMP1011,PR2016,2026-02-02,,Boston,New York,Container,987.91,2881.03,COD,In Transit,Campbell-Robinson,Dallas,Manufacturing,36195,Inactive,Lisa Roberts,Seattle,2022-06-15,49841.0,Benjamin Harper
BK000049,CUST3275,EMP1062,PR2029,2026-04-04,,Denver,Chicago,Van,2577.48,7863.15,Prepaid,Cancelled,Martinez-Perez,Phoenix,Retail,91531,Active,Erica Bailey,San Francisco,2025-07-11,78210.0,Daniel Cannon
BK000050,CUST3114,EMP1091,PR2002,2025-07-10,,New York,Miami,Container,7812.9,14352.98,Prepaid,Booked,Howard Llc,Phoenix,Healthcare,30408,Active,Aaron Rich,Miami,2026-01-21,5000.0,Sarah Hayes
BK000051,CUST3293,EMP1044,PR2043,2025-12-24,,Miami,Seattle,Mini Truck,3524.86,18671.63,COD,Booked,Burch Llc,Phoenix,Retail,40942,Inactive,Jason Lambert,Houston,2023-11-13,51431.0,Jason Bailey
BK000052,CUST3090,EMP1007,PR2003,2026-04-02,,Seattle,Atlanta,Mini Truck,2269.25,15053.55,COD,Cancelled,Mcdonald-Williams,Boston,Retail,50534,Inactive,Kevin Moore,Chicago,2023-09-06,50873.0,Frank Carpenter
BK000053,CUST3121,EMP1071,PR2027,2025-12-07,,Atlanta,Seattle,Container,1710.7,12950.58,COD,Pending,Alvarez And Sons,Boston,Retail,90058,Active,Elizabeth Hicks,Miami,2024-02-09,59831.0,Sarah Wright
BK000054,CUST3008,EMP1072,PR2002,2025-10-09,,Phoenix,San Francisco,Truck,9919.27,13243.04,Credit,Pending,"Mullen, Dixon And Gray",Houston,Retail,98690,Active,Andrea Williams,Houston,2025-09-30,68888.0,Katherine Carter
BK000055,CUST3206,EMP1061,PR2016,2026-01-26,2026-02-09,Denver,Atlanta,Mini Truck,2386.34,13114.82,Credit,Delivered,"Collins, Burke And Baxter",Atlanta,Retail,22504,Active,Allison Salazar,Miami,2022-02-12,117086.0,Kimberly Farley
BK000056,CUST3290,EMP1080,PR2020,2026-04-12,,New York,Phoenix,Truck,4253.86,10038.43,COD,,Sellers-Gates,Boston,Manufacturing,77620,Inactive,William Juarez,New York,2024-08-14,81717.5,Jacob Perry
BK000057,CUST3200,EMP1082,PR2023,2025-08-28,,Los Angeles,Houston,Mini Truck,1087.32,1000.0,Prepaid,,"Kirby, Ford And Walters",Miami,Manufacturing,93255,Inactive,Stephen Zamora,Los Angeles,2023-02-27,64228.0,Matthew Newman
BK000058,CUST3270,EMP1069,PR2033,2026-03-20,,Boston,Phoenix,Van,5148.54,15885.37,Prepaid,Booked,"Hanna, Thompson And Gregory",Chicago,Manufacturing,78531,Active,Sarah Frey,Dallas,2022-08-17,103259.0,Jennifer Yoder
BK000059,CUST3146,EMP1093,PR2015,2025-11-29,,Phoenix,Miami,Mini Truck,8273.72,6719.54,Prepaid,In Transit,Reynolds-Craig,Chicago,Retail,20039,Inactive,Candace Torres,Chicago,2024-08-05,84567.0,Susan Schwartz
BK000060,CUST3291,EMP1025,PR2040,2025-10-25,,Chicago,Dallas,Container,6101.82,12597.57,Prepaid,Cancelled,Lopez-Olson,Houston,Manufacturing,91545,Active,Denise Baird,Denver,2022-06-08,94613.0,Lisa Williams
BK000061,CUST3134,EMP1069,PR2038,2025-08-27,2025-09-10,Denver,Boston,Truck,8519.91,16802.03,Credit,Delivered,Saunders-Flowers,Atlanta,Manufacturing,41850,Inactive,Sarah Frey,Dallas,2022-08-17,103259.0,Jennifer Yoder
BK000062,CUST3182,EMP1040,PR2021,2025-11-27,2025-12-11,Boston,San Francisco,Trailer,3772.93,15444.53,COD,Delivered,Petersen-Taylor,Chicago,Healthcare,11869,Inactive,Cheryl Green,Boston,2023-10-14,63549.0,Miguel Jarvis
BK000063,CUST3104,EMP1074,PR2032,2025-12-09,2025-12-12,New York,Los Angeles,Mini Truck,3013.23,1069.4,Prepaid,Delivered,Stephens-Holt,Seattle,Manufacturing,44547,Inactive,Antonio Long,Los Angeles,2025-05-21,110204.0,Devin Logan
BK000064,CUST3030,EMP1064,PR2001,2025-06-21,,Dallas,Denver,Trailer,9718.31,11002.81,Credit,Pending,"Ramirez, Jones And Brooks",Atlanta,Healthcare,80326,Active,Jason Miles,Phoenix,2024-07-21,67510.0,Tammy Dixon
BK000065,CUST3293,EMP1025,PR2038,2025-10-27,,Miami,Seattle,Container,9161.16,17594.89,COD,Cancelled,Burch Llc,Phoenix,Retail,40942,Inactive,Denise Baird,Denver,2022-06-08,94613.0,Lisa Williams
BK000066,CUST3264,EMP1044,PR2024,2025-09-14,,Seattle,Denver,Trailer,7080.17,786.3,COD,Booked,Glover And Sons,Atlanta,E-commerce,96986,Inactive,Jason Lambert,Houston,2023-11-13,51431.0,Jason Bailey
BK000067,CUST3197,EMP1037,PR2038,2025-08-06,,Atlanta,Miami,,1838.7,10247.85,COD,Booked,"Kim, Peterson And Sweeney",New York,Healthcare,94767,Active,Duane Reynolds,New York,2023-01-19,58495.0,Christian Estrada
BK000068,CUST3133,EMP1021,PR2008,2025-05-15,,Denver,Miami,Trailer,4599.68,17219.82,Prepaid,Booked,Miller-Mason,Atlanta,Retail,52755,Inactive,Jennifer Chan,Los Angeles,2022-06-14,117357.0,Ashley Russell
BK000069,CUST3105,EMP1037,PR2021,2025-09-30,,Los Angeles,New York,,7548.72,19043.57,COD,,Byrd-Rice,Denver,Manufacturing,66270,Inactive,Duane Reynolds,New York,2023-01-19,58495.0,Christian Estrada
BK000070,CUST3075,EMP1056,PR2013,2025-05-18,,Dallas,Miami,Van,5627.47,9775.06,Credit,Pending,Rojas Ltd,Seattle,Healthcare,51615,Active,William Richardson,Phoenix,2026-03-07,112382.0,Shelly Rodriguez
BK000071,CUST3024,EMP1077,PR2003,2025-11-12,,New York,Boston,Truck,959.4,13338.83,COD,In Transit,"Davis, Gordon And Maddox",San Francisco,E-commerce,75474,Active,Johnny Miller,San Francisco,2025-03-31,68612.0,Rebecca Wiley
BK000072,CUST3094,EMP1025,PR2031,2025-12-17,,Atlanta,Los Angeles,Van,529.28,6026.11,Credit,Booked,"King, Schneider And Martin",New York,Retail,46532,Active,Denise Baird,Denver,2022-06-08,94613.0,Lisa Williams
BK000073,CUST3070,EMP1027,PR2043,2025-08-10,,Boston,Seattle,Van,9281.08,11629.33,Credit,Pending,"Myers, Martin And Hernandez",Houston,Healthcare,99569,Inactive,Christian Hardy,Miami,2025-11-01,53502.0,Sheila Turner
BK000074,CUST3131,EMP1084,PR2036,2026-02-25,2026-03-05,Denver,New York,Trailer,7684.63,9324.39,COD,Delivered,Ellis And Sons,Seattle,Manufacturing,31882,Inactive,Evan Robinson,New York,2023-03-15,60180.0,Kelly Austin
BK000075,CUST3143,EMP1031,PR2036,2025-08-09,,San Francisco,Los Angeles,Van,9159.33,2193.79,Credit,In Transit,"Kim, Moore And Castillo",Dallas,Retail,54116,Inactive,Toni Lowe,Denver,2025-10-29,93839.0,Karen Guzman
BK000076,CUST3119,EMP1076,PR2045,2026-02-16,,New York,San Francisco,Trailer,3017.79,6455.97,Credit,,"Mills, Duke And Flores",New York,Retail,66632,Inactive,Amanda Cruz,Chicago,2023-04-06,54063.0,Tanya Hernandez
BK000077,CUST3111,EMP1088,PR2040,2025-08-13,,Miami,Boston,Truck,6334.84,13484.41,Credit,In Transit,"Snyder, Wade And Newman",Boston,Manufacturing,68608,Inactive,Rachel Grant,Phoenix,2026-04-02,81717.5,Leah Walker
BK000078,CUST3098,EMP1029,PR2019,2025-05-12,,Houston,New York,Trailer,9833.17,10833.11,COD,Pending,Thompson-Cortez,New York,Retail,25787,Inactive,Elizabeth Mason,Denver,2021-11-21,5000.0,Anthony Dunn
BK000079,CUST3254,EMP1032,PR2045,2025-10-21,,Seattle,Los Angeles,Van,3844.59,10038.43,COD,In Transit,"Miller, Conway And Best",Houston,Healthcare,79332,Active,Phillip Mcguire,Houston,2025-05-23,70707.0,Travis Smith
BK000080,CUST3191,EMP1043,PR2021,2025-07-09,,Houston,Phoenix,Van,5023.54,10755.93,COD,In Transit,Richardson-Henry,Seattle,E-commerce,73027,Inactive,William Moreno,Dallas,2021-08-08,53930.0,Michael Dean
BK000081,CUST3085,EMP1055,PR2008,2025-10-13,,Boston,Los Angeles,Container,5954.95,11061.14,Prepaid,Cancelled,"Rubio, Herring And Higgins",Chicago,E-commerce,23984,Active,Ruben Clark,San Francisco,2026-02-04,108196.0,Jason Scott
BK000082,CUST3205,EMP1025,PR2044,2026-01-01,,New York,Atlanta,Mini Truck,8202.94,18045.33,COD,Booked,Garcia Ltd,Miami,Manufacturing,60200,Inactive,Denise Baird,Denver,2022-06-08,94613.0,Lisa Williams
BK000083,CUST3028,EMP1074,PR2039,2026-03-03,,Houston,,Van,6448.63,6458.17,COD,Booked,Johnson-Wagner,Chicago,Retail,87997,Active,Antonio Long,Los Angeles,2025-05-21,110204.0,Devin Logan
BK000084,CUST3013,EMP1060,PR2021,2025-11-01,,Denver,Chicago,Van,9610.82,10398.75,Prepaid,In Transit,Martin-Shaffer,Phoenix,Retail,97601,Active,Lisa Jackson,Miami,2024-01-07,47399.0,Brenda Smith
BK000085,CUST3198,EMP1048,PR2047,2025-09-19,,Denver,Dallas,Trailer,7024.66,13678.01,COD,Booked,Unknown Customer,Phoenix,E-commerce,33073,Inactive,Dr. Veronica Walker Dvm,New York,2021-10-31,97050.0,Thomas Schmidt
BK000086,CUST3004,EMP1089,PR2010,2025-11-16,,Atlanta,Seattle,Container,1526.26,12966.37,Prepaid,In Transit,Unknown Customer,New York,E-commerce,82552,Active,Patricia Velez,Chicago,2024-07-28,41957.0,Yvonne Valentine
BK000087,CUST3029,EMP1032,PR2026,2025-08-08,,Denver,Dallas,Trailer,9253.75,9101.52,COD,Pending,Hughes-Watts,Seattle,Healthcare,94955,Active,Phillip Mcguire,Houston,2025-05-23,70707.0,Travis Smith
BK000088,CUST3073,EMP1048,PR2004,2025-05-28,,Houston,Atlanta,Van,3712.99,6039.78,COD,In Transit,Hardin-Irwin,Phoenix,Healthcare,75234,Inactive,Dr. Veronica Walker Dvm,New York,2021-10-31,97050.0,Thomas Schmidt
BK000089,CUST3253,EMP1078,PR2010,2026-03-03,,New York,Dallas,Truck,7646.75,9460.15,COD,In Transit,Bush-Wade,San Francisco,Healthcare,92733,Inactive,Shawn Cherry,Chicago,2024-11-21,77358.0,Jesus Henderson
BK000090,CUST3087,EMP1042,PR2040,2025-08-20,2025-08-29,Los Angeles,Miami,Van,336.0,18414.8,Prepaid,Delivered,Lozano Plc,Chicago,Retail,11024,Inactive,Colin Chandler,Seattle,2023-05-28,97121.0,Joshua May
BK000092,CUST3213,EMP1055,PR2047,2026-03-13,,Seattle,Los Angeles,Trailer,8600.15,18906.23,COD,In Transit,Unknown Customer,Denver,E-commerce,27923,Active,Ruben Clark,San Francisco,2026-02-04,108196.0,Jason Scott
BK000093,CUST3173,EMP1033,PR2039,2026-03-23,2026-03-24,Boston,Phoenix,Trailer,1511.71,4639.92,COD,Delivered,"Smith, Henry And Wright",Seattle,Retail,52427,Inactive,Thomas Abbott,Dallas,2024-05-01,48468.0,Derrick Cohen
BK000094,CUST3051,EMP1082,PR2016,2025-09-24,,Miami,Boston,Van,1899.42,6745.27,Prepaid,Cancelled,"Curtis, Morgan And Baker",Dallas,Manufacturing,39994,Active,Stephen Zamora,Los Angeles,2023-02-27,64228.0,Matthew Newman
BK000095,CUST3257,EMP1098,PR2013,2026-03-11,,Boston,Los Angeles,Mini Truck,9389.31,12510.55,COD,Booked,Finley Plc,Miami,Healthcare,10559,Inactive,John Ortiz,Chicago,2026-01-30,117524.0,Gail Reyes
BK000096,CUST3099,EMP1068,PR2019,2026-01-16,2026-01-22,Los Angeles,,Trailer,6394.71,10930.49,COD,Delivered,"Melendez, Moore And Martinez",Atlanta,Manufacturing,63117,Inactive,Anne Smith,Denver,2024-07-26,113026.0,Joshua Hawkins
BK000097,CUST3102,EMP1031,PR2049,2026-02-18,,Houston,Los Angeles,Trailer,6499.6,17945.78,COD,Pending,Vargas Plc,Dallas,Retail,94090,Inactive,Toni Lowe,Denver,2025-10-29,93839.0,Karen Guzman
BK000098,CUST3167,EMP1010,PR2024,2026-04-17,,Los Angeles,Boston,Container,7737.28,1933.72,Prepaid,In Transit,Unknown Customer,Denver,Manufacturing,70453,Inactive,Rita Barrett,Denver,2024-07-14,43052.0,Trevor Vega
BK000099,CUST3036,EMP1051,PR2038,2025-07-25,,Atlanta,Dallas,Container,9373.51,4404.43,Credit,In Transit,Hudson Plc,Houston,Manufacturing,31612,Active,Troy Morgan,Seattle,2021-06-27,48757.0,Douglas Maynard
BK000100,CUST3011,EMP1100,PR2015,2025-12-19,,Phoenix,Boston,Container,9189.33,4495.46,COD,Booked,"Ford, Williamson And Simpson",San Francisco,Manufacturing,31677,Inactive,Sherry Smith,Boston,2023-01-02,84629.0,Randy Schneider
BK000101,CUST3166,EMP1083,PR2013,2026-02-18,,Houston,Atlanta,Container,8514.82,6238.35,Prepaid,Cancelled,Unknown Customer,Miami,Retail,97796,Inactive,Christopher Kelly,Houston,2022-03-20,73681.0,Elizabeth Murphy
BK000102,CUST3234,EMP1052,PR2013,2025-11-18,,Houston,San Francisco,Mini Truck,8335.54,13577.18,Prepaid,Pending,Smith-Patterson,Los Angeles,E-commerce,55508,Inactive,Jeffrey Brown,Atlanta,2025-09-20,72051.0,Erin Todd
BK000103,CUST3052,EMP1010,PR2045,2025-10-01,2025-10-04,Denver,Chicago,Trailer,5792.36,13386.32,Credit,Delivered,Unknown Customer,New York,E-commerce,97911,Inactive,Rita Barrett,Denver,2024-07-14,43052.0,Trevor Vega
BK000104,CUST3153,EMP1015,PR2006,2025-08-08,,San Francisco,Boston,Mini Truck,7034.0,16960.1,Prepaid,Cancelled,"Robinson, Mitchell And Watson",Chicago,Retail,47809,Inactive,Richard Thomas,Phoenix,2025-12-23,86305.0,Joy Chang
BK000105,CUST3072,EMP1026,PR2012,2025-08-16,,Seattle,Boston,Van,3105.85,14668.39,COD,,Brown Inc,Seattle,Retail,20761,Active,Michael Anderson,New York,2025-02-27,71416.0,Pamela Johnson
BK000106,CUST3218,EMP1077,PR2022,2026-04-22,,Houston,,Van,4825.78,16135.66,Credit,In Transit,Best-Perez,Houston,Retail,56661,Inactive,Johnny Miller,San Francisco,2025-03-31,68612.0,Rebecca Wiley
BK000107,CUST3250,EMP1036,PR2012,2025-07-13,,Phoenix,,Van,500.33,10038.43,Prepaid,Pending,Unknown Customer,Seattle,Healthcare,12295,Inactive,Roberto Curtis,Miami,2025-01-10,57025.0,Ernest Lamb
BK000108,CUST3031,EMP1067,PR2023,2025-06-19,2025-06-27,New York,Houston,Van,4607.74,10038.43,Credit,Delivered,Griffin Plc,Dallas,E-commerce,70879,Active,Annette Rodriguez,Houston,2021-06-21,97100.0,Dawn Perry
BK000109,CUST3107,EMP1037,PR2043,2026-03-10,,San Francisco,,Mini Truck,8306.64,16865.1,Credit,Cancelled,Li And Sons,San Francisco,Manufacturing,94142,Inactive,Duane Reynolds,New York,2023-01-19,58495.0,Christian Estrada
BK000110,CUST3110,EMP1022,PR2004,2025-05-21,,Los Angeles,Boston,Trailer,8760.66,6971.76,COD,Pending,Reyes And Sons,Boston,Healthcare,29295,Inactive,David Davis,Boston,2021-06-25,75092.0,Chad Henry
